,Log_Negativity,Coherent_Information,Entangling_Capability,Effective_Dimension,Expressibility,Performance
98,-1.39E-07,4.13E-17,1.204051961,,60.71040182,0
99,-1.39E-07,3.70E-17,1.20895511,,64.33452273,0.01
100,-1.39E-07,4.73E-17,1.203678423,,56.75095915,0
101,-1.39E-07,2.05E-17,1.20669341,,86.71555196,0
102,-1.39E-07,5.55E-17,1.198345927,,61.01235484,0
103,-1.39E-07,3.57E-17,1.203978961,,59.24650947,0
104,-1.39E-07,6.94E-17,1.200456969,,71.30383321,0
105,-1.39E-07,4.54E-17,1.209458843,,62.95028205,0
106,-1.39E-07,5.55E-17,1.197830112,,70.45395355,0
107,-1.39E-07,4.93E-17,1.200223276,,92.94655791,0
108,-1.39E-07,5.55E-17,1.196535276,,88.34159305,0
109,-1.39E-07,4.76E-17,1.187754298,,66.85892644,0
110,-1.39E-07,1.85E-17,1.189649028,,131.8711911,0
111,-1.39E-07,1.39E-17,1.197175233,,131.2501637,0
112,-1.39E-07,0,1.205591653,,89.33157403,0
113,-1.39E-07,-2.78E-17,1.186618534,,257.8895306,0
114,-1.39E-07,1.11E-16,1.195292584,,257.8895306,0
115,-1.39E-07,5.55E-17,1.163068833,,0,0.01
116,-1.39E-07,5.55E-17,1.207488602,,80.92197139,0
117,-1.39E-07,1.11E-16,1.192407473,,259.8512833,0
118,-1.39E-07,7.55E-17,1.202226883,,152.7432238,0
119,-1.39E-07,5.27E-17,1.207494234,,116.5536378,0
120,-1.39E-07,5.73E-17,1.208170856,,105.9524751,0
121,-1.39E-07,4.40E-17,1.209659857,,94.57994896,0
122,-1.39E-07,5.00E-17,1.210863263,,82.58867504,0.01
123,-1.39E-07,5.40E-17,1.208449515,,79.91593821,0
124,-1.39E-07,5.21E-17,1.207139004,,80.80049989,0.01
125,-1.39E-07,5.07E-17,1.206373695,,75.0594236,0.01
126,-1.39E-07,5.44E-17,1.208183961,,78.46871067,0
127,-1.39E-07,6.08E-17,1.206606805,,76.28863382,0
128,-1.39E-07,6.23E-17,1.208129269,,71.94999271,0
129,-1.39E-07,4.47E-17,1.207447908,,71.93830969,0
130,-1.39E-07,4.30E-17,1.208205379,,78.65407797,0.01
131,-1.39E-07,6.29E-17,1.195764565,,81.92999086,0
132,-1.39E-07,3.29E-17,1.201917426,,76.40209229,0
133,-1.39E-07,5.33E-17,1.207472218,,72.6851738,0.01
134,-1.39E-07,4.76E-17,1.201994553,,60.4957943,0.01
135,-1.39E-07,1.31E-17,1.200349115,,68.31352573,0
136,-1.39E-07,5.98E-17,1.198936343,,73.68058776,0
137,-1.39E-07,2.14E-17,1.198968086,,70.86415285,0.07
138,-1.39E-07,6.25E-17,1.190174855,,99.2911093,0.01
139,-1.39E-07,6.25E-17,1.190174855,,99.2911093,0.039999999
140,-1.39E-07,6.94E-18,1.20005718,,95.87690357,0.029999999
141,-1.39E-07,7.14E-17,1.199062695,,87.46910139,0.02
142,-1.39E-07,3.70E-17,1.21872901,,144.8086679,0.02
143,-1.39E-07,5.55E-17,1.215748531,,144.5580954,0.01
144,-1.39E-07,1.85E-17,1.218885974,,118.4558659,0.01
145,-1.39E-07,5.55E-17,1.211877169,,176.5351624,0.039999999
146,-1.39E-07,0,1.213657026,,114.2817805,0.01
147,-1.39E-07,4.16E-17,1.20923066,,102.9784617,0.01
148,-1.39E-07,5.55E-17,1.197720019,,144.6379334,0.02
149,-1.39E-07,2.78E-17,1.211528604,,128.2516181,0.039999999
150,-1.39E-07,0,1.223056391,,257.8895306,0.01
151,-1.39E-07,-2.78E-17,1.226853063,,128.2516181,0.050000001
152,-1.39E-07,8.33E-17,1.225286363,,128.2516181,0.050000001
153,-1.39E-07,8.33E-17,1.221602036,,128.2516181,0.039999999
154,-1.39E-07,1.11E-16,1.192407473,,0,0
155,-1.39E-07,0,1.223056391,,0,0
156,-1.39E-07,0,1.223056391,,0,0.059999999
157,-1.39E-07,-5.55E-17,1.230649735,,0,0.01
158,-1.39E-07,-5.55E-17,1.230649735,,0,0.029999999
